id,full_name,year_make,year_use,cost,sp_use_method_id,sp_direct_use_id,sp_country_id,sp_yes_no_id,sp_vuz_id
564,Учебно-научная лаборатория\nклеточной инженерии.,2012,2013,2200.0,6,3,140,1,117
565,Учебно-научная лаборатория\nпо общей биологии.,2012,2013,1140.0,6,3,140,1,117
566,"Учебно-демонстрационные\nстенды по\nэнергоэффективности и\nэнергосбережению \""Три «Э\"":\nЭнергия, Эффективность,\nЭкология\"".",2012,2013,2949.58,8,3,140,1,117
567,Учебно-научная лаборатория\nпо возобновляемым\nисточникам энергии.,2013,2013,2062.0,8,3,140,1,117
568,Учебно-научный\nлабораторный комплекс по\nинформатике и\nинформационным\nтехнологиям.,2012,2013,1765.14,7,3,140,1,117
569,Учебный лабораторный\nкомплекс по\nкриминалистике.,2012,2013,1890.89,8,3,140,1,117
570,Учебно-научная лаборатория\nпо экологической химии.,2011,2011,321.5,8,3,140,1,117
571,Учебно-научный\nлабораторный комплекс по\nфизхимии и биохимии.,2014,2014,550.0,6,3,45,1,117
572,Учебно-научный\nлабораторный комплекс по\nфизическому практикуму.,2014,2014,951.59,8,3,140,1,117
573,Учебно-научный\nлабораторный комплекс по\nисследованию свойств\nматериалов.,2014,2014,882.75,8,3,166,1,117
574,Мультимедийный и\nинтерактивный комплекс.,2014,2014,863.724,8,4,140,1,117
580,"К-т оборудов. Для лабор-й физики, химии и биологии профил.вузов в обл. нанотехнол",2008,2008,2611.0,3,1,140,2,51
581,Сканирующий зондовый микроскоп Solver Pro,2005,2005,3402.0,3,1,140,2,51
582,Установка синтеза углеродных нанотрубок CVDomna,2008,2008,1000.0,6,1,140,2,51
583,"Комплекс аппаратно-программный для химических исследований на базе хроматографа \""Хроматэк-Кристалл 5000\""",2012,2012,1300.0,7,1,140,2,51
584,Фурье-спектрометр инфракрасный ФСМ1202,2008,2008,1296.0,6,1,140,2,51
585,Рентгеновский дифрактометр Thermo ARL X’TRA\n(фирма производитель: Thermo Fisher Scientifics)\n,2007,2007,12500.0,4,1,193,1,6
586,ИК-Фурье спектрометр Vertex 70\n(фирма производитель: Bruker Optik GmbH)\n,2006,2006,4600.0,5,1,45,1,6
587,ИК-Фурье спектрометр MPA\n(фирма производитель: Bruker Optik GmbH)\n,2006,2006,3100.0,5,1,45,1,6
588,Спектрофотометр Lambda 650 с Модулем URA\n(фирма производитель: Perkin Elmer)\n,2006,2006,1350.0,5,1,143,1,6
589,Электронный микроскоп JSM-6380LV\n(фирма производитель: JEOL Ltd.)\n,2004,2004,4800.0,2,1,204,1,6
590,Электронный микроскоп JSM-6510LV\n(фирма производитель: JEOL Ltd.)\n,2009,2009,11200.0,2,1,204,1,6
591,Система микроанализа INCA Energy 250\n(фирма производитель: Oxford Instruments)\n,2005,2005,2700.0,8,1,31,1,6
592,Оже электронный спектрометр DESA-100\n(фирма производитель: Staib Instrument)\n,2007,2007,1500.0,8,1,45,1,6
593,Атомно-силовой микроскоп SOLVER P47\n(фирма производитель: NT-MDT)\n,2006,2006,2100.0,3,1,140,1,6
594,Спектрометр универсальный рентгеновский СУР «Реном»-01\n(фирма производитель: ЗАО НТЦ «Экспертцентр»)\n,2006,2006,2600.0,4,1,140,1,6
595,Установка ядерной гамма спектроскопии SМ 1101\n(фирма производитель: Институт аналитического приборостроения РАН)\n,2008,2008,1000.0,8,1,140,1,6
596,Многофункциональный калибратор Fluke 5520 A\n(фирма производитель: Fluke)\n,2010,2010,1300.0,5,1,143,1,6
597,Просвечивающий электронный микроскоп Libra 120\n(фирма производитель: Carl Zeiss)\n,2012,2012,29600.0,2,1,45,1,6
598,Рентгеновский дифрактометр Empyrean B.V.\n(фирма производитель: PANalytica)\n,2013,2013,10500.0,4,1,122,1,6
599,Волновой рентгенофлуоресцентный спектрометр S8 Tiger\n(фирма производитель: Bruker)\n,2013,2013,9400.0,4,1,45,1,6
600,Комплект спектрометра атомно-абсорбционного КВАНТ-Z.ЭТА-1\n(фирма производитель: ООО «Кортэк»)\n,2012,2012,1000.0,8,1,140,1,6
601,Комплекс-ВЭЖХ системы с время-пролетным масс-спектрометром Agilent 6230\n(фирма производитель: Agilent Technologies)\n,2013,2013,12300.0,8,1,143,1,6
602,Система для высокопроизводительного секвенирования ДНК в комплекте Ion Personal Genome Mashine\n(фирма производитель: Ion Torren)\n,2013,2013,5100.0,8,1,143,1,6
603,Прибор для проведения ПЦР в реальном времени Chromo 4\n(фирма производитель: BioRad)\n,2006,2006,1300.0,8,1,143,1,6
604,"Установка для испытания материалов в условиях вакуума и ультрафиолетового излучения\n(фирма производитель: ООО «Вакуумные системы иэлектроника», Anest Iwata)\n",2014,2014,2500.0,1,1,204,1,6
605,"Аппаратно-программный комплекс для производства наночастиц на основе липосом\n(фирма производитель: Nikon, Thermo Scientific, Polygen, EMDMillipore)\n",2014,2014,20800.0,7,1,204,1,6
606,Станция вестерн-блоттинга Amersham Imager 600\n(фирма производитель: GE Healthcare)\n,2014,2014,1400.0,8,1,143,1,6
607,Газовый хроматограф Agilent 7890B/5977A\n(фирма производитель: Agilent Technologies)\n,2013,2013,1200.0,8,1,143,1,6
608,Система энергодисперсионного анализа X-flash\n(фирма производитель: ) Bruker\n,2009,2009,1900.0,8,1,45,1,6
609,Установка для нанесения ультратонких слоев Плазма 50-СЭ,2007,2007,1950.0,8,1,140,1,6
628,Сканирующий электронный микроскоп Quanta200,2005,2005,9885.0,2,1,122,1,243
629,Энергодисперсионный рентгенофлуоресцентный спектрометр ARL QUANT’X,2010,2011,4432.0,4,1,143,1,243
630,Газовый хромато-масс-спектрометр Agilent 7890A с масс-селективным квадрупольным детектором MSD 5975С,2010,2011,3999.0,4,1,143,1,243
631,ИК-Фурье спектрометр \nVarian 640\n,2010,2011,2869.0,5,1,143,1,243
632,Порошковый рентгеновский дифрактометр ARL X’TRA,2012,2012,16351.0,4,1,193,1,243
633,Жидкостной хроматограф Agilent  мод. 1260 Infinity LC с диодно-матричным детектором,2014,2015,3500.0,1,1,143,1,243
634,Нанотвердомер,2009,2009,20340.0,8,2,31,2,120
635,Оптико-эмиссионный анализатор Quantron Magellan Q8,2009,2009,4562.0,8,2,45,2,120
636,Дисковая центрифуга CPS Disk Centrifuge DC24000,2008,2008,4000.0,8,2,122,2,120
637,Сканирующий туннельный микроскоп Phywe,2009,2009,3000.0,3,2,45,2,120
638,Комплект сканирующих зондовых микроскопов NanoEducator,2008,2008,2430.0,3,3,140,2,120
639,Машина трения Tribotester Т-11,2005,2005,954.0,8,1,136,2,120
640,Сканирующий нанотвердомер Наноскан,2008,2008,830.0,8,2,140,2,120
641,Ультразвуковой диспергатор УЗД-22/44,2012,2012,226.0,6,2,178,2,120
642,Растровый электронный микроскоп с полевой эмиссией Quanta 650 FEG,2011,2012,6927.48,2,2,122,1,15
643,Сканирующий зондовый микроскоп Solver Next,2012,2012,2946.73,3,2,140,1,15
644,Система рентгеновского микроанализа EDAX,2013,2013,1500.0,4,2,143,1,15
645,"Лабораторный комплекс для получения и идентификации органических веществ, микро- и нанокопсулированных формацевтических композиций",2012,2012,1503.92,6,2,204,1,15
646,"Комплект оборудования для имитационного моделирования наноматериалов (два сервера Dell PowerEdge R710, cистема хранения данных Dell PowerVault MD3220i, два источника бесперебойного питания Dell 3U, два коммутатора Dell PowerConnect 5524 и один 5548, комплектующие для сборки)",2011,2012,1732.91,7,1,143,2,15
647,СHNS/O анализатор Thermo Flash 2000,2012,2013,2999.9,1,2,193,1,191
648,Масс-спектрометр индуктивно-связанной плазмы XSeriesII ICP-MS,2011,2012,8600.0,1,2,143,1,191
649,Атомно-абсорбционный спектрометр с электротермической атомизацией Квант-Z.ЭТА,2009,2010,1000.0,1,2,140,1,191
650,Атомно-абсорбционный спектрометр с пламенной атомизацией Квант-2А,2011,2012,1045.0,1,2,140,1,191
651,Сканирующий электронный микроскоп JEOL 1610LV с энергодисперсион-ным спектрометром для электронно-зондового микроанализа SSD X-Max Inca Energy,2010,2011,11690.0,2,2,204,1,191
652,Лазерный измеритель размера частиц c внешним зондом Nanotrac Ultra 253,2011,2012,2000.0,1,2,143,1,191
653,Автоматический анализатор удельной поверхности и пористости Gemini VII 2390t,2010,2011,1720.0,1,2,143,1,191
654,Автоматический анализатор удельной поверхности и пористости ASAP 2020MP,2010,2011,3585.0,1,2,143,1,191
655,ИК-Фурье спектрометр с приставкой НПВО и дополнительным оборудованием Nicolet 380 ,2009,2010,2554.71,1,2,143,1,191
656,Сканирующий спектрофлуориметр (с набором флуоресцентных стандартов) Cary Eclipse,2008,2008,1600.0,6,2,1,1,191
657,Двухлучевой сканирующий спектрометр УФ-ВИД диапазона GBC Cintra 303 ,2009,2010,640.3,1,2,1,1,191
658,Двухканальный газовый хроматограф Trace 1310 с ПИД детектором,2012,2012,1500.0,1,2,31,1,191
659,Хроматограф газовый ХроматэкКристалл-5000.2,2002,2003,528.0,1,2,140,1,191
660,Хромато-масс-спектрометр Хроматек-Кристалл DSQ-E170,2006,2007,242.443,1,2,140,1,191
661,Автоматический гелиевый пикнометр AccuPyc 1340,2010,2011,780.0,1,2,143,1,191
662,Автоматический измеритель плотности жидкостей DDM 2910,2009,2010,551.95,1,2,143,1,191
663,Автоматический рефрактометр Rudolph Research J357,2010,2010,499.0,1,2,143,1,191
664,Вискозиметр Брукфильда ротационный LVDV-II-Pro,2011,2012,496.1,1,2,143,1,191
665,Прибор для измерения краевого угла смачивания DSA 20E,2011,2012,831.087,1,2,45,1,191
666,Анализатор размера частиц Zetasizer Nano ZS ,2011,2011,3150.0,5,2,31,1,191
667,Сканирующий зондовый микроскоп Solver P47 Pro,1999,2002,100000.0,3,1,140,2,203
668,Дериватограф Q-1500D,2000,2002,150000.0,4,3,32,2,203
669,ИК-Фурье спектрофотометр Shimadzu FTIR-8400,2000,2002,110000.0,2,3,204,2,203
670,Спектрофотометр SPECORD M40 с фотометрическим шаром,1999,2002,190000.0,2,3,45,2,203
671,Жидкостный хроматограф Shimadzu HPLC-10AVP ,1998,2002,111000.0,7,1,204,2,203
672,"Газовый хроматограф 6890N, фирма «Agilent Technologies» (США)",2002,2002,3904.99,7,2,143,1,24
673,"Жидкостной хроматограф, фирма GBC (Австралия)",2002,2002,1878.24,8,4,1,1,24
674,Оборудование для синтеза и исследования наночастиц,2013,2013,1000.0,1,1,140,2,196
675,Технологический комплекс,2013,2013,1844.0,1,1,140,2,196
676,Измерительный комплекс,2013,2013,1000.0,1,2,140,2,196
698,Шлифовально-полировальная система для подготовки металлографических образцов с принадлежностями,2010,2011,1000.0,8,4,205,1,1
699,Автоматизированный микротвердомер (по Викерсу кнуппу) с принадлежностями,2010,2010,1204.0,8,3,205,1,1
700,Система получения 3D профиля поверхности безконтатктным способом,2010,2011,3976.0,7,2,205,1,1
701,Микроскоп материаловедческий инвертированный AxioObserverZ1m,2010,2011,4136.0,2,1,205,1,1
702,Электромеханическая измерительная система для проведения статических испытаний разнообразных материалов при нагрузках до 10кН (Instron 8801),2010,2011,4798.0,7,2,205,1,1
703,Вертикальный обрабатывающий центр с числовым программным управлением в комплекте,2010,2011,5774.0,7,4,205,1,1
704,"Сверхвысокочастотный индукционный нагреватель, Электропечь камерная",2011,2011,1000.0,8,4,205,2,1
705,Комплекс грануляционного оборудования,2011,2011,1000.0,6,1,205,1,1
706,Инфракрасная\nтепловизионная система\n(ИК - камера)\nИнфракрасная\nтепловизионная система\n(ИК - камера)\n,2011,2011,2000.0,8,4,205,2,1
707,Оборудование для ЗD -\nпрототипирования Contex\nZPrinter 650 Z6505\nОборудование для ЗD -\nпрототипирования Contex\nZPrinter 650 Z6505\n,2011,2011,3700.0,7,2,205,1,1
708,Оборудование для сертифицированной лаборатории охраны труда и инженерной экологии и испытательного центра пищевых продуктов и сырья,2011,2011,1000.0,6,3,205,1,1
709,Установка магнетронного напыления тонких пленок на образцы в вакууме,2011,2011,5802.0,6,1,205,1,1
710,"Комплекс оборудования для определения водопоглотительной способности, реологических свойств, свойств клейстеризации и активности ферментов муки и теста",2012,2012,3030.0,6,2,205,1,1
711,Акустико - эмиссионный комплекс для проведения неразрушающего контроля,2012,2012,1721.0,7,2,205,1,1
712,Измерительная станция для анализа микронеровностей поверхности,2012,2012,1267.0,8,3,205,2,1
713,Портативный рентгено - флуоресцентный\nанализатор химического состава\nПортативный рентгено - флуоресцентный\nанализатор химического состава\n,2012,2012,1980.0,1,3,205,1,1
714," Средства измерений (ультразвуковой дефектоскоп, дозиметр, денситометр, негатоскоп, жидкостный хроматограф с флуориметрическим детектером)",2012,2012,1138.0,8,2,205,1,1
715,Cканирующий зондовый микроскоп FemtoScan,2009,2010,1177.0,3,2,140,1,1
716,Универсальная испытательная машина Instron 3363,2009,2009,1500.0,7,2,205,1,1
717,Газохроматографический комплекс,2009,2010,1254.0,1,2,143,1,1
718,Оптический металлографический микроскоп ZEISS,2011,2012,2700.0,2,2,205,1,1
719,Испытательная машина 3382 INSTRON,2009,2009,2303.5,7,2,143,1,137
720,Установка для определения усталостных характеристик материалов,2010,2010,2000.0,7,2,140,1,137
721,Микротвердомер НМV-2,2011,2011,1505.0,7,2,204,1,137
722,Дилатометр DIL 402 PC,2009,2009,0.0,1,2,45,1,137
723,Прибор синхронного анализа STA-409 (дериватограф),2009,2009,0.0,1,2,45,1,137
724,Акустико-эмиссионный комплекс Лель (16 каналов) A-Line 32D (DDM),2008,2008,2099.0,7,3,140,1,137
725,Хроматограф GС-2010,2010,2010,1858.0,1,2,204,1,137
726,Спектроанализатор оптико-эмиссионный Q4 TASMAN 170 Bruker,2012,2012,2650.0,1,2,45,1,137
727,Инфракрасный спектрофотометрIRAffinity-1 с Фурье преобразованием,2012,2012,1810.15,1,2,204,1,137
728,Рентгенофлуоресцентный анализатор Rigaku Nex CG,2012,2012,3831.21,4,2,143,1,137
729,Газовый хромато масс-спектрометр GCMS-QP2010 Ultra,2013,2013,5123.46,1,2,204,1,137
730,Лазерная установка LSR - 300,2013,2013,2274.0,8,3,140,1,137
731,Растровый электронный микроскоп,2012,2012,15500.0,2,1,204,1,137
732,Энергодисперсионный\nрентгеновский\nфлуоресцентный\nспектрометр,2007,2008,3326.0,4,1,204,1,49
733,Наноиндентор,2009,2010,4000.0,8,1,143,1,49
734,Газовый\nхроматомасс-спектрометр,2012,2012,2600.0,2,1,204,1,49
735,Поромер,2010,2011,2250.0,2,1,143,1,49
736,Прибор синхронного\nтермического анализа,2012,2012,3620.0,8,1,45,1,49
737,Инфракрасный Фурье\nспектрофотометр,2001,2002,1419.0,2,1,143,1,49
738,"Хроматограф жидкостной в\nкомплекте \""Prominence\""",2011,2012,1710.0,2,1,204,1,49
739,"Жидкостный хроматограф с\nультрафиолетовым и\nрефрактометрическим\nдетекторами, оснащенный\nсистемой для\nполупрепаративного\nразделения соединений с\nавтоматическим коллектором\nфракций",2004,2005,1825.0,2,1,143,1,49
740,"Элементный C, H, N, S, O\nанализатор",2006,2007,1520.0,8,1,70,1,49
741,Установка для изучения\nпроцессов гидроочистки\nдизельных топлив\n,2011,2012,2373.0,7,1,140,1,49
742,Растровый Электронный\nМикроскоп в комплекте с\nрентгеновским\nспектрометром,2007,2008,6000.0,2,1,204,1,49
743,ЯМР - спектрометр высокого\nразрешения 400 МГц ,2010,2011,11000.0,8,1,204,1,49
744,Спектрофлюориметр,2010,2011,1530.0,8,1,143,1,49
745,"Хромато масс-спектрометр с\nэлектронной и химической\nионизацией, снабженный\nавтосэмплером и устройством\nпрямого ввода образца\n",2003,2004,3125.0,2,1,143,1,49
746,Дифрактометр,2008,2009,9000.0,2,1,193,1,49
747,"Масс-спектрометр высокого\nразрешения с жидкостным\nхроматографом, снабженный\nисточниками ионизации ESI и\nпрямого анализа в реальном\nвремени DART",2011,2011,10000.0,2,1,143,1,49
748,Прибор синхронного термического анализа,2008,2008,3999.95,6,1,45,1,86
749,Дифрактометр ренгеновский,2010,2010,5500.0,4,1,193,1,86
750,температурное и\nклиматическое\nоборудование,2008,2008,1882.0,7,1,140,2,86
751,Рентгенофлуоресцентный\nспектрометр ARL 9900\nWorkStation,2012,2012,23142.9,4,1,193,1,86
752,Оборудование пробоподготовки ,2012,2012,1391.43,6,1,45,2,86
753,Шлифовально-полировальный\nстанкок MetaServ® 250 с\nдополнительной\nполуавтоматической\nнасадкой Vector®,2012,2012,1363.4,6,1,45,2,86
754,Станок приготовления\nшлифов IsoMet 5000,2012,2012,1363.4,7,1,45,2,86
755,Сканирующий электронный\nмикроскоп высокого\nразрешения TESCAN MIRA 3 LMU,2012,2012,11343.5,2,1,191,1,86
756,Энергодисперсионный\nспектрометр X-MAX 50 Oxford\nInstruments NanoAnalysis для\nэлектронно-зондового\nмикроанализа,2012,2012,4861.5,3,1,31,1,86
757,"Эллипсометр UVISEL 2,\nHORIBA Jobin Yvon",2013,2013,6800.0,4,1,143,1,86
758,Система обработки данных\nмобильная\nэлектронно-вычислительная,2012,2012,1144.6,7,1,143,2,86
759,комплект оборудования для\nбиологических\nисследований,2013,2013,1100.0,1,1,204,1,86
760,Система генерации регулируемой высокотемпературной волны ,2014,2014,4500.0,7,1,140,2,86
761,Твердомер NEХUS 4504-IMP,2014,2014,1853.69,7,2,122,2,86
762,Анализатор грануметрического состава порошков методом широкоуглового статистического светорассеяния Frisch Analysette 22 NanoTec Plus,2014,2014,3855.62,7,2,45,2,86
763,Манипулятор промшленный F200IB-30B-A-PL/2 E-63987 в комплекте с контроллером,2014,2014,2602.2,7,1,191,2,86
764,Химический реактор высокого давления,2014,2014,1782.5,7,1,140,1,86
765,"Вискозиметр Viscolcad One R, Fungilab",2014,2014,277.2,7,2,45,2,86
766,Лабораторная микро установка на базе лабораторного экструдера Ankele Extruder 20/25LD,2014,2014,1226.96,7,1,143,2,86
767,Мешалка лабораторная верхнеприводная Eurostar 20High speed digital,2014,2014,196.663,7,1,45,2,86
768,Установка для определения показателя текучести,2014,2014,193.05,7,2,140,2,86
769,Шкаф вытяжной,2014,2014,109.94,7,2,140,2,86
770,Электропечь лабораторная СНОЛ 15/14,2014,2014,230.0,7,1,140,2,86
771,Электропечь лабораторная СНОЛ 200/12,2014,2014,270.0,7,1,140,2,86
772,Электропечь лабораторная СНОЛ 25/12,2014,2014,107.069,7,1,140,2,86
773,Весы аналитические DV215CD,2014,2014,137.761,7,2,140,2,86
774,"Шкаф ламинарный,  2 класс, вертикальный поток ",2014,2014,185.886,7,1,140,2,86
775,Микроскоп люминесцентный с блоком фотодокументирования и системой анализа изображений Axio Scope.A1 ,2014,2014,1733.77,7,1,191,2,86
776,Электрическая система пробоподготовки методом сплавления для рентгенофлуорисцентного анализа,2014,2014,3572.05,7,2,191,2,86
777,Гомогенизатор Silverson L5M-A,2014,2014,773.77,7,2,143,2,86
778,"Дистиллятор автоматический SELECTA \""AC-L4\""",2014,2014,114.344,7,2,140,2,86
779,Когтеобразная мешалка со специальным стаканом (Rheotest),2014,2014,436.279,7,1,140,2,86
780,Коронообразный сенсор со сдвиговой пластиной (Rheotest),2014,2014,454.721,7,1,204,2,86
781,Прибор для измерения краевого угла DSA30E,2014,2014,800.0,7,2,140,2,86
782,Анализатор спектра прецизионный 4-канальный,2014,2014,106.5,7,2,191,2,86
783,Растворосмеситель лабораторный Matest E095,2014,2014,209.345,7,1,140,2,86
784,Климостат Р2,2014,2014,312.793,7,2,140,2,86
785,"Бокс ламинарный микробиологической безопасности (защита продукта, оператора, окружающей среды) ЛБ-1",2014,2014,128.7,7,1,140,2,86
786,Печь муфельная L9/12,2014,2014,332.679,7,1,140,2,86
787,Измеритель адгезии Adherekce Tester,2001,2002,176.848,6,1,143,1,116
788,Измеритель прочности ИПС МГ4,2002,2002,102.648,6,1,140,1,116
789,Измеритель удельного сопротивлени ИУС-№,2002,2002,208.954,6,1,140,1,116
790,Камера вакуумная СНВ-1,2003,2003,106.596,6,1,140,1,116
791,Камера вакуумная ЩТГ-1,2003,2003,211.5,6,1,140,1,116
792,Камера вакуммная СНВ-1,2003,2003,106.596,6,1,140,1,116
793,Лазерный элипсометр,2002,2002,363.976,6,1,140,1,116
794,Микротвердомер ПМТ-3,2003,2003,111.565,6,1,140,1,116
795,Пресс форма для формирования кремния,2003,2003,155.4,6,3,140,2,116
796,Стенд для измерения теплопроводности и электропроводности керамики,2002,2002,167.7,6,1,140,1,116
797,Трансформатор АСУ 100/05-Е4,2003,2003,114.247,6,3,140,2,116
798,Экспериментальная стендовая установка Криостат,2003,2003,212.16,6,3,140,2,116
799,Анализатор остатоочных газов ХТ300 с ПО ХТ300,2011,2011,180.852,6,1,140,1,116
800,Анализатор остатоочных газов ХТ300 с прогаммой Vacuum Plus,2010,2010,344.98,6,1,140,1,116
801,"Генератор ВЧ мврки SRNR1001. 1000Вт, 1,7-40,68 МГц с микропроцессорным управлением и воздушным охлаждением ",2014,2014,476.959,6,1,45,1,116
802,Согласующее устройство SRNATS1001 1000Dn? 1?7-40?68 Vuw,2014,2014,375.203,6,1,45,1,116
803,Мгнетрон серии МАК4.00 с ручкой продольной регулировкой,2014,2014,339.811,6,1,45,1,116
804,"Насос форвакуммный TRIVAK Д65В, 65м2/ч",2012,2013,113.25,6,3,45,2,116
